Header,,,,,,,,,,,,,,,,
rate=30,,,,,,,,,,,,,,,,
frames=121,,,,,,,,,,,,,,,,
duration=4.0,,,,,,,,,,,,,,,,
type=degree,,,,,,,,,,,,,,,,
Body,,,,,,,,,,,,,,,,
Time,Frame,NV,NH,HD,LS,LE,LH,LK,RS,RE,RH,RK,TO,TH,TV,SD
2.277,69,-50,-1,0,-25,51,17,-90,-15,90,30,-62,3,-27,1,0
2.31,70,-50,-1,0,-27,51,20,-90,-9,90,28,-63,2,-23,3,0
2.343,71,-50,-1,0,-28,52,23,-90,-3,90,26,-63,1,-19,5,0
2.376,72,-50,-2,0,-30,51,25,-90,1,90,24,-63,1,-14,7,0
2.409,73,-50,-2,0,-30,51,28,-90,5,90,23,-63,0,-10,9,0
2.442,74,-50,-2,0,-30,51,31,-90,8,90,22,-63,0,-6,11,0
2.475,75,-50,-2,0,-30,50,33,-90,9,89,20,-63,0,-1,13,0
2.508,76,-50,-2,0,-30,49,36,-90,9,89,18,-63,-1,2,14,0
2.541,77,-50,-2,0,-30,48,38,-90,8,88,16,-62,-2,7,15,0
2.574,78,-50,-2,0,-30,47,41,-90,8,86,14,-62,-2,11,16,0
2.607,79,-50,-3,0,-30,46,44,-90,7,84,12,-61,-3,15,17,0
2.64,80,-50,-3,0,-30,44,45,-90,5,82,10,-60,-3,19,17,0
2.673,81,-50,-3,0,-30,43,45,-90,4,78,8,-60,-4,23,17,0
2.706,82,-50,-3,0,-30,41,45,-90,3,74,6,-59,-5,27,17,0
2.739,83,-50,-3,0,-30,39,45,-90,3,70,4,-58,-5,30,17,0
2.772,84,-50,-3,0,-30,37,45,-86,2,66,2,-57,-6,33,16,0
2.805,85,-50,-3,0,-30,34,45,-80,2,61,0,-55,-6,36,16,0
2.838,86,-50,-4,0,-30,32,45,-75,2,56,-2,-54,-6,38,16,0
2.871,87,-50,-4,0,-30,29,45,-70,2,52,-4,-52,-7,40,15,0
2.904,88,-50,-4,0,-30,25,43,-66,1,49,-6,-51,-7,41,15,0
2.937,89,-50,-4,0,-30,21,42,-63,0,48,-8,-49,-7,42,14,0
2.97,90,-50,-4,0,-30,17,41,-62,-1,48,-10,-47,-7,43,14,0
3.003,91,-50,-4,0,-30,25,40,-62,-3,50,-12,-47,-7,42,13,0
3.036,92,-50,-4,0,-30,42,39,-62,-5,51,-14,-49,-7,41,13,0
3.069,93,-50,-4,0,-30,60,37,-62,-7,52,-6,-53,-7,40,12,0
3.102,94,-50,-5,0,-30,75,36,-62,-9,53,4,-58,-7,38,12,0
3.135,95,-50,-5,0,-30,87,35,-61,-12,54,11,-64,-6,36,11,0
3.168,96,-50,-5,0,-30,90,33,-61,-14,55,15,-70,-6,33,11,0
3.201,97,-50,-5,0,-30,90,32,-60,-16,55,21,-76,-6,30,10,0
3.234,98,-50,-5,0,-30,90,30,-60,-17,56,24,-81,-6,26,10,0
3.267,99,-50,-5,0,-30,90,29,-59,-19,56,30,-87,-5,23,9,0
3.3,100,-50,-5,0,-29,90,27,-59,-21,56,31,-90,-5,19,9,0
3.333,101,-50,-5,0,-21,90,25,-58,-22,56,33,-90,-5,15,8,0
3.366,102,-50,-4,0,-12,90,24,-57,-24,56,34,-90,-4,10,8,0
3.399,103,-50,-3,0,-5,90,22,-56,-25,56,35,-90,-4,6,7,0
3.432,104,-50,-2,0,0,90,20,-55,-27,56,37,-90,-4,1,7,0
3.465,105,-50,-1,0,1,90,19,-54,-28,56,38,-90,-3,-2,6,0
3.498,106,-50,-1,0,2,90,17,-53,-29,56,40,-90,-3,-7,5,0
3.531,107,-50,-1,0,1,90,15,-52,-30,55,41,-90,-3,-12,5,0
3.564,108,-50,-1,0,1,90,14,-51,-30,55,41,-90,-2,-16,4,0
3.597,109,-50,-1,0,0,90,12,-50,-30,54,40,-90,-2,-20,4,0
3.63,110,-50,-1,0,0,90,11,-49,-30,54,40,-90,-2,-25,3,0
3.663,111,-50,-1,0,0,85,9,-48,-30,53,42,-90,-1,-29,2,0
3.696,112,-50,-1,0,0,79,8,-47,-30,53,43,-90,-1,-32,2,0
3.729,113,-50,-1,0,0,72,7,-46,-30,52,44,-90,-1,-36,1,0
3.762,114,-50,-1,0,1,65,5,-45,-30,52,42,-90,0,-39,1,0
3.795,115,-50,-2,0,3,57,4,-45,-30,51,42,-84,0,-42,1,0
3.828,116,-50,-2,0,6,50,4,-44,-30,51,41,-77,0,-44,0,0
3.861,117,-50,-2,0,8,42,3,-44,-30,51,40,-71,0,-46,0,0
3.894,118,-50,-2,0,11,35,2,-43,-30,51,39,-64,0,-47,0,0
3.927,119,-50,-2,0,14,30,2,-43,-30,50,35,-60,0,-48,0,0
3.96,120,-50,-2,0,15,27,2,-43,-30,50,35,-58,0,-46,0,0
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
-0.033,,,,,,,,,,,,,,,,
-0.033,,,,,,,,,,,,,,,,
-0.033,,,,,,,,,,,,,,,,
-0.033,,,,,,,,,,,,,,,,
